实体1,实体2,关系
 小行星探测器, 彗星号,
 小行星探测器, 星尘号,
 小行星探测器, 曙光号,
 小行星探测器, 会合-舒梅克号,
 小行星探测器, 深度撞击号,
 小行星探测器, 深空一号,
 小行星探测器, 维加计划,
 小行星探测器, 罗塞塔号,
 小行星探测器, 菲莱登陆器,
 小行星探测器, 隼鸟号,
 小行星探测器, 露西号,
 小行星探测器, 灵神星轨道器,
 超光速航行, NX级星舰,
 超光速航行, 曲速引擎,
 超光速航行, 阿库别瑞引擎,
 伪随机性, 伪随机性,
 蒙地卡罗方法, 吉布斯采样,
 蒙地卡罗方法, 并行退火,
 蒙地卡罗方法, 拟蒙特卡罗方法,
 蒙地卡罗方法, 控制变量法,
 蒙地卡罗方法, 斯温森－王算法,
 蒙地卡罗方法, 梅特罗波利斯－黑斯廷斯算法,
 蒙地卡罗方法, 模拟退火,
 蒙地卡罗方法, 粒子滤波器,
 蒙地卡罗方法, 蒙地卡罗方法,
 蒙地卡罗方法, 蒙特卡洛树搜索,
 蒙地卡罗方法, 逆变换采样,
 蒙地卡罗方法, 重要性采样,
 随机化算法, 蒙地卡罗方法,
 随机化算法, 随机化算法,
 随机数生成, RdRand,
 随机数生成, 梅森旋转算法,
 随机数生成, 随机数生成,
 随机过程, Draft,
 随机过程, K-L 转换,
 随机过程, 中餐馆过程,
 随机过程, 主方程式,
 随机过程, 伊藤引理,
 随机过程, 伊藤过程,
 随机过程, 伯努利过程,
 随机过程, 停时,
 随机过程, 几何布朗运动,
 随机过程, 击中时,
 随机过程, 半鞅,
 随机过程, 可预测过程,
 随机过程, 右连左极函数,
 随机过程, 布朗桥,
 随机过程, 布朗运动,
 随机过程, 平稳过程,
 随机过程, 循序可测过程,
 随机过程, 查普曼-科尔莫戈罗夫等式,
 随机过程, 泊松过程,
 随机过程, 白噪声,
 随机过程, 福克-普朗克方程,
 随机过程, 维纳滤波,
 随机过程, 维纳空间,
 随机过程, 维纳过程,
 随机过程, 维纳－辛钦定理,
 随机过程, 莱维过程,
 随机过程, 费曼－卡茨公式,
 随机过程, 赫斯特指数,
 随机过程, 跳跃过程,
 随机过程, 适应过程,
 随机过程, 重对数律,
 随机过程, 量子随机漫步,
 随机过程, 随机分析,
 随机过程, 随机变量的收敛,
 随机过程, 随机图,
 随机过程, 随机数列,
 随机过程, 随机过程,
 随机过程, 随机微分方程,
 随机过程, 随机漫步,
 随机过程, 鞅 (概率论),
 随机过程, 马可夫过程,
 随机过程, 马尔可夫性质,
 随机过程, 马尔可夫链,
 随机过程, 高斯噪声,
 随机过程, 高斯过程,
 噪声, Template,
 噪声, 布朗噪声,
 噪声, 噪声,
 超光速, 契忍可夫辐射,
 超光速, 波前速度,
 超光速, 相速度,
 超光速, 瞬间移动,
 超光速, 群速度,
 超光速, 讯号速度,
 超光速, 超光速,
 超光速, 超光速运动,
 机率复杂度理论, 机率图灵机,
 统计随机性, 随机性,
 时间旅行, TARDIS,
 时间旅行, Template,
 时间旅行, 封闭类时曲线,
 时间旅行, 快子,
 时间旅行, 时序保护猜想,
 时间旅行, 时间倒流,
 时间旅行, 时间悖论,
 时间旅行, 时间旅行,
 时间旅行, 时光机 (哆啦A梦),
 时间旅行, 时空旅人,
 时间旅行, 祖父悖论,
 时间旅行, 约翰·提托,
 时间旅行, 虫洞,
 时间旅行, 诺维科夫自洽性原则,
 时间旅行, 迪罗伦时光机,
 目的论, 大撕裂,
 目的论, 定向演化,
 目的论, 目的论,
 目的论, 目的论论证,
 随机性, M-sequence,
 随机性, 五人法则,
 随机性, 伪随机序列,
 随机性, 彩票摇奖机,
 随机性, 拉斯维加斯算法,
 随机性, 掷硬币,
 随机性, 水塘抽样,
 随机性, 无限猴子定理,
 随机性, 百万乱数表,
 随机性, 算法信息论,
 随机性, 随机函数,
 随机性, 随机变量,
 随机性, 随机场,
 随机性, 随机性,
 随机性, 随机数,
